"","JAKARTA OUTER","18,951,279,620","17,888,378,809","94.39%","96.32%","  1,062,900,811 ","  683,875,219 ","-1.52%","3","","","","","Indramayu","1,986,171,661","1,714,650,924","86.33%","88.09%","  271,520,737 ","  231,797,304 ","-8.44%","7","","","JAKARTA CENTRUM","1,061.36","458.85","43.23%","602.51","18.93","14.72","77.77%","4.21","","","JAKARTA CENTRUM","531.36","190.22","35.80%","341.13","14.80","13.76","92.97%","1.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GRAND TOTAL","","36,296","13,021,318,638","12,629,084,987","96.99%","7,214,297","0.06%","34,848","12,636,299,284","96.01%","97.04%","1,450","385,019,354","","","","","","","","","0","0","0","0","0","","","","","","","","","","","> 12 Bln","19.25%","29.15%","49.95%","39.12%","62.27%","24.16%","20.54%","22.07%","15.07%","","","","","","","","","","","","","","","","","","","","","","","","","","","91404 - Indramayu","883","335,874,254","13,248,171","3.94%","0","0.00%","59","13,248,171","6.68%","3.94%","824","322,626,083","","",""
"","BANTEN","18,590,843,185","17,359,664,885","93.38%","95.28%","  1,231,178,300 ","  859,361,436 ","-2.00%","5","","","","","Kuningan","1,836,817,797","1,536,096,094","83.63%","85.33%","  300,721,703 ","  263,985,347 ","-11.07%","8","","","JAKARTA OUTER","972.43","633.07","65.10%","339.36","19.95","15.33","76.85%","4.62","","","JAKARTA OUTER","586.01","429.03","73.21%","156.98","16.65","15.09","90.60%","1.57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ALL PRITI","18.08%","26.24%","41.76%","29.97%","47.09%","16.04%","18.77%","19.50%","12.58%","","","","","","","","","","","","","","","","","","","","","","","","","","","91405 - Kuningan","233","66,262,043","15,739,200","23.75%","1,164,390","1.76%","72","16,903,590","30.90%","25.51%","161","49,358,453","","",""
"","PRIANGAN BARAT","16,425,149,515","14,992,495,369","91.28%","93.14%","  1,432,654,146 ","  1,104,151,156 ","-2.81%","6","","","","","Majalengka","1,187,258,868","1,063,748,494","89.60%","91.43%","  123,510,374 ","  99,765,197 ","-5.49%","4","","","BANTEN","126.68","89.49","70.64%","37.19","8.99","7.98","88.82%","1.00","","","BANTEN","97.27","79.19","81.41%","18.08","8.25","7.93","96.11%","0.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91406 - Majalengka","184","52,622,298","14,957,330","28.42%","0","0.00%","75","14,957,330","40.76%","28.42%","110","37,664,968","","",""
"","BEKASI KARAWANG","16,259,711,362","14,724,668,845","90.56%","92.41%","  1,535,042,517 ","  1,209,848,290 ","-2.88%","7","","","","","Inner - PRITI","2,813,395,448","2,638,644,489","93.79%","95.70%","  174,750,959 ","  118,483,050 ","-3.24%","2","","","PRIANGAN BARAT","12.27","9.46","77.04%","2.82","6.77","4.91","72.52%","1.86","","","PRIANGAN BARAT","4.72","2.37","50.19%","2.35","4.93","4.62","93.63%","0.31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Laporan Bulanan C3MR Periode 202504","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91407 - Inner - Priangan Timur","460","89,300,730","25,100,680","28.11%","0","0.00%","133","25,100,680","28.91%","28.11%","327","64,200,050","","",""
"","BANDUNG","12,996,291,163","12,162,931,646","93.59%","95.50%","  833,359,517 ","  573,433,694 ","-1.76%","4",""," ","","","Singaparna","1,448,871,973","1,286,681,535","88.81%","90.62%","  162,190,438 ","  133,212,999 ","-5.77%","5","","","BEKASI KARAWANG","21.24","2.35","11.08%","18.89","4.35","3.79","87.14%","0.56","","","BEKASI KARAWANG","2.24","1.05","46.77%","1.19","3.98","3.77","94.49%","0.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","WITEL","BILL CATEGORY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","JUL","18.39%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91408 - Singaparna","127","41,419,488","15,090,382","36.43%","0","0.00%","52","15,090,382","40.94%","36.43%","75","26,329,106","","",""
"","PRIANGAN TIMUR","14,145,173,370","12,704,755,717","89.82%","91.65%","  1,440,417,653 ","  1,157,514,186 ","-5.54%","8","","","","","Tasikmalaya","1,676,433,428","1,576,958,193","94.07%","95.99%","  99,475,235 ","  65,946,566 ","-1.46%","1","","","BANDUNG","100.90","52.87","52.40%","48.03","9.34","7.56","80.91%","1.78","","","BANDUNG","55.96","30.38","54.30%","25.57","7.74","7.35","95.05%","0.38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AUG","19.45%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91409 - Tasikmalaya","235","61,910,091","24,933,582","40.27%","0","0.00%","72","24,933,582","30.64%","40.27%","163","36,976,509","","",""
"","TREG 2","126,081,267,548","117,198,315,017","92.95%","94.85%","  8,882,952,531 ","  6,361,327,180 ","","","","","","","PRITI","14,145,173,370","12,704,755,717","89.82%","91.65%","  1,440,417,653 ","  1,157,514,186 ","","","","","PRIANGAN TIMUR","0.41","0.39","95.58%","0.02","8.00","6.31","78.95%","1.68","","","PRIANGAN TIMUR","0.39","0.37","95.22%","0.02","6.86","6.08","88.59%","0.78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","914 - Priangan Timur","Eksisting","34,584","12,636,687,598","12,427,103,562","98.34%","3,075,502","0.02%","34,006","12,430,179,064","98.33%","98.37%","598","206,508,534","","","","","KATEGORI PETUGAS","TELDA","","","","","","","","","","","","DEC","GRAFIK RR","","","","","SEP","12.58%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GRAND TOTAL","2,819","893,219,387","173,720,993","19.45%","1,164,390","0.13%","686","174,885,383","24.33%","19.58%","2,136","718,334,004","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","2,448.05","1,316.76","53.79%","1,131.29","95.36","72.79","76.33%","22.57","","TREG 2 DSS","","1,314.27","759.18","57.76%","555.08","76.40","70.63","92.46%","5.76","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PRANPC","1,309","340,187,363","117,627,690","34.58%","460,650","0.14%","411","118,088,340","31.40%","34.71%","898","222,099,023","","","","","ADMIN","","","","36","50","63","54","45","","","","","","","Visit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","PRANPC","","","","","","","","","","","","","BINTANG 9 PRANPC PRITI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PSB","458","178,097,958","120,125,292","67.45%","56,582,300","31.77%","453","176,707,592","98.91%","99.22%","5","1,390,366","","","","","","","","","9","25","31","19","11","","","","","","","Paid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DATEL","","","","","","","","","","","","","","",""
"","","","","","60%","","","","","","","","","","","","","60.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Posisi recording terakhir data TREMS : ","","29/04/2026","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","WINBACK","88","19,722,362","15,298,952","77.57%","405,506","2.06%","76","15,704,458","86.36%","79.63%","14","4,017,904","","","","","R. HOTD BANJAR","","","","14","19","38","28","36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","WITEL","","","","","","","","","","","","","WITEL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PETUGAS VISIT","Values","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TOTAL 914 - Priangan Timur","","36,439","13,174,695,281","12,680,155,496","96.25%","60,523,958","0.46%","34,946","12,740,679,454","95.90%","96.71%","1,515","434,015,827","","","","","","","","","5","8","7","7","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91401 - Banjar","382","151,093,328","16,308,863","10.79%","2,110,943","1.40%","55","18,419,806","14.40%","12.19%","330","132,673,522","","",""
"","JAKARTA INNER","186,886,313","36,814,809","19.70%","32.83%","  150,071,504 ","  146,333,778 ","-22.92%","4","","","","","Banjar","45,367,977","15,090,839","33.26%","55.44%","  30,277,138 ","  29,369,778 ","5.59%","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","Grand Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GRAND TOTAL","","36,439","13,174,695,281","12,680,155,496","96.25%","60,523,958","0.46%","34,946","12,740,679,454","95.90%","96.71%","1,515","434,015,827","","","","","R. HOTD KUNINGAN","","","","0","0","0","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91403 - Garut","324","109,217,724","7,952,173","7.28%","0","0.00%","18","7,952,173","5.56%","7.28%","307","101,265,551","","",""
"","JAKARTA CENTRUM","278,585,717","59,206,359","21.25%","35.42%","  219,379,358 ","  213,807,644 ","-18.99%","3","","","","","Garut","43,386,821","4,036,992","9.30%","15.51%","  39,349,829 ","  38,482,093 ","-0.21%","6","","","","","","","","","","","","","","","","","","","","","","","","","","","VOC VISIT2","VISIT","PAID","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91404 - Indramayu","894","337,190,323","12,782,298","3.79%","0","0.00%","44","12,782,298","4.92%","3.79%","850","324,408,025","","",""
"","JAKARTA OUTER","426,736,565","114,436,097","26.82%","44.69%","  312,300,468 ","  303,765,737 ","-14.47%","1","","","","","Indramayu","50,273,890","3,149,181","6.26%","10.44%","  47,124,709 ","  46,119,231 ","-9.80%","7","","","","","","","","","","","","","","","","","","","","","","","","","","","Grand Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","R. HOTD MAJALENGKA","","","","15","7","10","4","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91405 - Kuningan","242","72,247,261","13,445,225","18.61%","0","0.00%","57","13,445,225","23.55%","18.61%","186","58,802,036","","",""
"","BANTEN","418,449,295","73,107,305","17.47%","29.12%","  345,341,990 ","  336,973,004 ","-13.18%","6","","","","","Kuningan","48,223,772","4,562,035","9.46%","15.77%","  43,661,737 ","  42,697,262 ","0.34%","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Laporan Bulanan C3MR Periode 202503","","","","","","","","","","","","","","","","","","","","","","0","3","5","1","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91406 - Majalengka","182","52,244,597","8,809,276","16.86%","653,790","1.25%","31","9,463,066","17.03%","18.11%","151","42,781,531","","",""
"","PRIANGAN BARAT","492,847,244","129,702,724","26.32%","43.86%","  363,144,520 ","  353,287,575 ","0.87%","2","","","","","Majalengka","32,283,529","1,393,150","4.32%","7.19%","  30,890,379 ","  30,244,708 ","-26.79%","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","WITEL","BILL CATEGORY","","","","","","","","","","","","","","","","","R. HOTD PRIANGAN TIMUR","","","","9","10","21","5","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91407 - Inner - Priangan Timur","575","118,035,471","31,284,252","26.50%","184,260","0.16%","93","31,468,512","16.17%","26.66%","483","86,566,959","","",""
"","BEKASI KARAWANG","489,033,862","71,903,189","14.70%","24.51%","  417,130,673 ","  407,349,996 ","-3.02%","8","","","","","Inner - Priangan Timur","53,144,415","9,968,627","18.76%","31.26%","  43,175,788 ","  42,112,900 ","-5.35%","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","5","2","0","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91408 - Singaparna","173","50,891,046","19,349,372","38.02%","352,142","0.69%","59","19,701,514","34.10%","38.71%","114","31,189,532","","",""
"","BANDUNG","320,867,329","57,364,974","17.88%","29.80%","  263,502,355 ","  257,085,008 ","-7.70%","5","","","","","Singaparna","34,163,986","8,428,119","24.67%","41.12%","  25,735,867 ","  25,052,587 ","6.66%","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","914 - Priangan Timur","Eksisting","34,695","12,612,114,118","12,298,906,995","97.52%","0","0.00%","33,854","12,298,906,995","97.58%","97.52%","858","313,207,123","","","","","R. HOTD SINGAPARNA","","","","12","13","10","5","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91409 - Tasikmalaya","266","47,065,315","8,022,470","17.05%","0","0.00%","45","8,022,470","16.92%","17.05%","221","39,042,845","","",""
"","PRIANGAN TIMUR","342,664,006","54,211,848","15.82%","26.37%","  288,452,158 ","  281,598,878 ","-2.13%","7","","","","","Tasikmalaya","35,819,616","7,582,905","21.17%","35.28%","  28,236,711 ","  27,520,319 ","8.08%","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PRANPC","1,244","400,414,680","72,011,432","17.98%","1,437,185","0.36%","284","73,448,617","22.83%","18.34%","959","326,966,063","","","","","","","","","5","5","3","2","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GRAND TOTAL","3,038","937,985,065","117,953,929","12.58%","3,301,135","0.35%","402","121,255,064","13.23%","12.93%","2,642","816,730,001","","",""
"","TREG 2","2,956,070,331","596,747,305","20.19%","33.65%","  2,359,323,026 ","  2,300,201,619 ","","","","","","","PRITI","342,664,006","54,211,848","15.82%","26.37%","  288,452,158 ","  281,598,878 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PSB","618","159,923,422","159,133,774","99.51%","256,886","0.16%","612","159,390,660","99.03%","99.67%","6","532,762","","","","","R. HOTD TASIKMALAYA","","","","0","0","0","0","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","WINBACK","124","17,284,924","13,250,429","76.66%","0","0.00%","106","13,250,429","85.48%","76.66%","18","4,034,495","","","","","","","","","0","0","0","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","WINBACK","","","","","","","","","","","","","BINTANG 9 WINBACK PRITI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TOTAL 914 - Priangan Timur","","36,681","13,189,737,144","12,543,302,630","95.10%","1,694,071","0.01%","34,856","12,544,996,701","95.02%","95.11%","1,841","644,740,443","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","98.00%","","","","","","","","","","","","","98.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GRAND TOTAL","","36,681","13,189,737,144","12,543,302,630","95.10%","1,694,071","0.01%","34,856","12,544,996,701","95.02%","95.11%","1,841","644,740,443","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","WITEL","","","","","","","","","","","","","WITEL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","JAKARTA INNER","67,920,802","50,998,689","75.09%","76.62%","  16,922,113 ","  15,563,697 ","-18.90%","2","","","","","Banjar","7,368,330","5,517,208","74.88%","76.41%","  1,851,122 ","  1,703,755 ","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","JAKARTA CENTRUM","25,810,785","16,469,922","63.81%","65.11%","  9,340,863 ","  8,824,647 ","-18.13%","5","","","","","Garut","3,763,145","2,160,376","57.41%","58.58%","  1,602,769 ","  1,527,506 ","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Laporan Bulanan C3MR Periode 202502","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","JAKARTA OUTER","39,756,991","25,677,547","64.59%","65.90%","  14,079,444 ","  13,284,304 ","11.48%","4","","","","","Indramayu","1,044,190","55,930","5.36%","5.47%","  988,260 ","  967,376 ","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","WITEL","BILL CATEGORY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Download"
"","BANTEN","24,613,282","10,807,900","43.91%","44.81%","  13,805,382 ","  13,313,116 ","-51.79%","8","","","","","Kuningan","76,699","66,995","87.35%","89.13%","  9,704 ","  8,170 ","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","PRIANGAN BARAT","28,804,822","19,077,985","66.23%","67.58%","  9,726,837 ","  9,150,741 ","-4.71%","3","","","","","Majalengka","111,251","23,310","20.95%","21.38%","  87,941 ","  85,716 ","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","914 - Priangan Timur","Eksisting","34,346","12,398,721,550","12,056,900,386","97.24%","113,810","0.00%","33,561","12,057,014,196","97.71%","97.24%","798","341,707,354","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39","17,125,140","249,750","1.46%","627,705","3.67%","3","877,455","7.69%","5.12%","36","16,247,685",""
"","BEKASI KARAWANG","21,155,722","12,852,743","60.75%","61.99%","  8,302,979 ","  7,879,865 ","-19.43%","6","","","","","Inner - Priangan Timur","3,102,724","2,921,624","94.16%","96.08%","  181,100 ","  119,046 ","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PRANPC","1,540","499,566,028","166,168,302","33.26%","438,450","0.09%","602","166,606,752","39.09%","33.35%","940","332,959,276","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95","39,083,957","3,386,511","8.66%","0","0.00%","8","3,386,511","8.42%","8.66%","90","35,697,446",""
"","BANDUNG","17,738,791","10,305,288","58.09%","59.28%","  7,433,503 ","  7,078,727 ","-10.97%","7","","","","","Singaparna","6,623,702","6,422,533","96.96%","98.94%","  201,169 ","  68,695 ","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PSB","849","195,992,493","195,992,493","100.00%","0","0.00%","849","195,992,493","100.00%","100.00%","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76","31,809,714","1,110,555","3.49%","394,050","1.24%","4","1,504,605","5.26%","4.73%","72","30,305,109",""
"","PRIANGAN TIMUR","26,192,201","21,032,717","80.30%","81.94%","  5,159,484 ","  4,635,640 ","12.07%","1","","","","","Tasikmalaya","4,102,160","3,864,741","94.21%","96.14%","  237,419 ","  155,376 ","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","WINBACK","91","10,043,481","7,944,374","79.10%","0","0.00%","69","7,944,374","75.82%","79.10%","22","2,099,107","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","29,406,564","8,141,850","27.69%","0","0.00%","8","8,141,850","16.00%","27.69%","42","21,264,714",""
"","TREG 2","251,993,396","167,222,791","66.36%","67.71%","  84,770,605 ","  79,730,737 ","","","","","","","TREG 2","26,192,201","21,032,717","80.30%","81.94%","  5,159,484 ","  4,635,640 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TOTAL 914 - Priangan Timur","","36,826","13,104,323,552","12,427,005,555","94.83%","552,260","0.00%","35,081","12,427,557,815","95.26%","94.84%","1,760","676,765,737","","","","","","","","","","","","","","","","","","","","","","","","","","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","737","225,238,631","26,796,905","11.90%","0","0.00%","117","26,796,905","15.88%","11.90%","623","198,441,726",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GRAND TOTAL","","36,826","13,104,323,552","12,427,005,555","94.83%","552,260","0.00%","35,081","12,427,557,815","95.26%","94.84%","1,760","676,765,737","","","","","","","","","","","","","","","","","","","","","","","","","","","2,982","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","997","342,664,006","39,685,571","11.58%","1,021,755","0.30%","140","40,707,326","14.04%","11.88%","863","301,956,680",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","118","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","WITEL","","","","","","","","","","","","","BINTANG 11 C3MR PER-USIA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","98.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Laporan Bulanan C3MR Periode 202501","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","JAKARTA INNER","1030528800.0%","","","","","","","","","","","","WITEL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","WITEL","BILL CATEGORY","","","","","","","","","","","","","","","","","UMUR CUSTOMER","Billing","","","","","","","","","","","","Download","","","","","","","","","3,147","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","JAKARTA CENTRUM","2103271700.0%","","","","","","","","","","","","00-03 Bln","694,220,311","587,359,485","84.61%","86.33%","  106,860,826 ","  92,976,420 ","-9.75%","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","L11","","","","","","","","","","","","","","","","","","","","","3,155","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","JAKARTA OUTER","16722279100.0%","","","","","","","","","","","","04-06 Bln","1,005,025,955","850,831,702","84.66%","86.39%","  154,194,253 ","  134,093,734 ","-7.28%","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","914 - Priangan Timur","Eksisting","34,253","12,386,863,352","12,022,106,230","97.06%","3,503,474","0.03%","33,329","12,025,609,704","97.30%","97.08%","930","361,253,648","","","","","00-03 Bln","39","17,125,140","249,750","1.46%","627,705","3.67%","3","877,455","7.69%","5.12%","36","16,247,685","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","BANTEN","","","","","","","","","","","","","07-09 Bln","1,100,864,777","923,905,504","83.93%","85.64%","  176,959,273 ","  154,941,977 ","-10.86%","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PRANPC","1,276","286,080,352","88,814,949","31.05%","1,045,935","0.37%","478","89,860,884","37.46%","31.41%","802","196,219,468","","","","","04-06 Bln","95","39,083,957","3,386,511","8.66%","0","0.00%","8","3,386,511","8.42%","8.66%","90","35,697,446","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
